"","Year","Rent","PropertyType","Location.x","NumberofBedrooms","Location.y","CPI","Price.Rent.Ratio","VacancyRate","HousingStock"
"948",2010,1021.31,"Semi detached house","Blanchardstown, Dublin 15","All bedrooms","Blanchardstown, Dublin 15",44.78,128.9,"0",1992000
"949",2010,1021.89,"Apartment","Sandycove, Dublin","1 to 3 bed","Sandycove, Dublin",44.78,128.9,"0",1992000
"950",2010,1021.89,"Apartment","Sandycove, Dublin","All bedrooms","Sandycove, Dublin",44.78,128.9,"0",1992000
"951",2010,1023.28,"Terrace house","Dublin 12","All bedrooms","Dublin 12",44.78,128.9,"0",1992000
"952",2010,1023.82,"Terrace house","Firhouse, Dublin 24","All bedrooms","Firhouse, Dublin 24",44.78,128.9,"0",1992000
"953",2010,1025.63,"Terrace house","Beaumont, Dublin 9","All bedrooms","Beaumont, Dublin 9",44.78,128.9,"0",1992000
"954",2010,1026.57,"Terrace house","Dublin 11","All bedrooms","Dublin 11",44.78,128.9,"0",1992000
"955",2010,1028.14,"Semi detached house","Drimnagh, Dublin 12","All bedrooms","Drimnagh, Dublin 12",44.78,128.9,"0",1992000
"956",2010,1033.53,"Semi detached house","Donabate, Dublin","All bedrooms","Donabate, Dublin",44.78,128.9,"0",1992000
"957",2010,1034.04,"Apartment","Dublin 6W","All bedrooms","Dublin 6W",44.78,128.9,"0",1992000
"958",2010,1034.93,"Apartment","Drumcondra, Dublin 9","All bedrooms","Drumcondra, Dublin 9",44.78,128.9,"0",1992000
"959",2010,1035,"Detached house","Tallaght, Dublin 24","All bedrooms","Tallaght, Dublin 24",44.78,128.9,"0",1992000
"960",2010,1035,"Terrace house","Castleknock, Dublin 15","All bedrooms","Castleknock, Dublin 15",44.78,128.9,"0",1992000
"961",2010,1035.26,"Semi detached house","Rathcoole, Dublin","All bedrooms","Rathcoole, Dublin",44.78,128.9,"0",1992000
"962",2010,1036.41,"Apartment","Rathfarnham, Dublin 16","All bedrooms","Rathfarnham, Dublin 16",44.78,128.9,"0",1992000
"963",2010,1036.98,"Apartment","Terenure, Dublin 6","All bedrooms","Terenure, Dublin 6",44.78,128.9,"0",1992000
"964",2010,1037.25,"Terrace house","Whitehall, Dublin 9","All bedrooms","Whitehall, Dublin 9",44.78,128.9,"0",1992000
"965",2010,1039.62,"Terrace house","Palmerstown, Dublin 20","All bedrooms","Palmerstown, Dublin 20",44.78,128.9,"0",1992000
"966",2010,1040.18,"Semi detached house","Dublin 24","All bedrooms","Dublin 24",44.78,128.9,"0",1992000
"967",2010,1040.96,"Semi detached house","Kinsealy, Dublin","All bedrooms","Kinsealy, Dublin",44.78,128.9,"0",1992000
"968",2010,1041.37,"Apartment","Kilmainham , Dublin 8","All bedrooms","Kilmainham , Dublin 8",44.78,128.9,"0",1992000
"969",2010,1041.44,"Apartment","Cabinteely, Dublin","All bedrooms","Cabinteely, Dublin",44.78,128.9,"0",1992000
"970",2010,1041.44,"Apartment","Cabinteely, Dublin","1 to 3 bed","Cabinteely, Dublin",44.78,128.9,"0",1992000
"971",2010,1041.67,"Terrace house","Kimmage, Dublin 12","All bedrooms","Kimmage, Dublin 12",44.78,128.9,"0",1992000
"972",2010,1043.08,"Apartment","Lower Mount Street, Dublin 2","All bedrooms","Lower Mount Street, Dublin 2",44.78,128.9,"0",1992000
"973",2010,1043.7,"Semi detached house","Clonsilla, Dublin 15","All bedrooms","Clonsilla, Dublin 15",44.78,128.9,"0",1992000
"974",2010,1045.27,"Semi detached house","Tyrrelstown, Dublin 15","All bedrooms","Tyrrelstown, Dublin 15",44.78,128.9,"0",1992000
"975",2010,1046.38,"Semi detached house","Lucan, Dublin","All bedrooms","Lucan, Dublin",44.78,128.9,"0",1992000
"976",2010,1047.64,"Semi detached house","Cabra, Dublin 7","All bedrooms","Cabra, Dublin 7",44.78,128.9,"0",1992000
"977",2010,1048.6,"Terrace house","Dublin 7","All bedrooms","Dublin 7",44.78,128.9,"0",1992000
"978",2010,1049.97,"Semi detached house","Dublin 12","All bedrooms","Dublin 12",44.78,128.9,"0",1992000
"979",2010,1055.39,"Semi detached house","Clonee, Dublin 15","All bedrooms","Clonee, Dublin 15",44.78,128.9,"0",1992000
"980",2010,1055.41,"Terrace house","Dublin","All bedrooms","Dublin",44.78,128.9,"0",1992000
"981",2010,1055.92,"Terrace house","Kilmainham , Dublin 8","All bedrooms","Kilmainham , Dublin 8",44.78,128.9,"0",1992000
"982",2010,1056.61,"Semi detached house","Dublin 15","All bedrooms","Dublin 15",44.78,128.9,"0",1992000
"983",2010,1057.31,"Terrace house","Dublin 13","All bedrooms","Dublin 13",44.78,128.9,"0",1992000
"984",2010,1058.56,"Terrace house","Baldoyle, Dublin 13","All bedrooms","Baldoyle, Dublin 13",44.78,128.9,"0",1992000
"985",2010,1058.61,"Terrace house","Killiney, Dublin","All bedrooms","Killiney, Dublin",44.78,128.9,"0",1992000
"986",2010,1058.64,"Terrace house","Dublin 3","All bedrooms","Dublin 3",44.78,128.9,"0",1992000
"987",2010,1062.21,"Terrace house","Santry, Dublin 9","All bedrooms","Santry, Dublin 9",44.78,128.9,"0",1992000
"988",2010,1062.49,"Semi detached house","Swords, Dublin","All bedrooms","Swords, Dublin",44.78,128.9,"0",1992000
"989",2010,1063.54,"Terrace house","Tyrrelstown, Dublin 15","All bedrooms","Tyrrelstown, Dublin 15",44.78,128.9,"0",1992000
"990",2010,1065.27,"Semi detached house","Palmerstown, Dublin 20","All bedrooms","Palmerstown, Dublin 20",44.78,128.9,"0",1992000
"991",2010,1065.92,"Apartment","Pearse Street, Dublin 2","All bedrooms","Pearse Street, Dublin 2",44.78,128.9,"0",1992000
"992",2010,1066.47,"Terrace house","Fairview, Dublin 3","All bedrooms","Fairview, Dublin 3",44.78,128.9,"0",1992000
"993",2010,1067.24,"Semi detached house","Dublin 17","All bedrooms","Dublin 17",44.78,128.9,"0",1992000
"994",2010,1068.46,"Apartment","Drimnagh, Dublin 12","All bedrooms","Drimnagh, Dublin 12",44.78,128.9,"0",1992000
"995",2010,1068.63,"Terrace house","Walkinstown, Dublin 12","All bedrooms","Walkinstown, Dublin 12",44.78,128.9,"0",1992000
"996",2010,1068.69,"Semi detached house","Dublin 11","All bedrooms","Dublin 11",44.78,128.9,"0",1992000
"997",2010,1070.39,"Terrace house","North Circular Road, Dublin 7","All bedrooms","North Circular Road, Dublin 7",44.78,128.9,"0",1992000
"998",2010,1072.19,"Semi detached house","Dublin 20","All bedrooms","Dublin 20",44.78,128.9,"0",1992000
"999",2010,1072.5,"Terrace house","Dublin 8","All bedrooms","Dublin 8",44.78,128.9,"0",1992000
"1000",2010,1072.57,"Terrace house","Arbour Hill, Dublin 7","All bedrooms","Arbour Hill, Dublin 7",44.78,128.9,"0",1992000
"1001",2010,1073.27,"Apartment","Summerhill, Dublin 1","All bedrooms","Summerhill, Dublin 1",44.78,128.9,"0",1992000
"1002",2010,1074.19,"Semi detached house","Inchicore, Dublin 8","All bedrooms","Inchicore, Dublin 8",44.78,128.9,"0",1992000
"1003",2010,1074.26,"Detached house","Dublin 24","All bedrooms","Dublin 24",44.78,128.9,"0",1992000
"1004",2010,1074.33,"Semi detached house","Donaghmede, Dublin 13","All bedrooms","Donaghmede, Dublin 13",44.78,128.9,"0",1992000
"1005",2010,1076.98,"Apartment","Churchtown, Dublin 14","All bedrooms","Churchtown, Dublin 14",44.78,128.9,"0",1992000
"1006",2010,1079.84,"Semi detached house","Santry, Dublin 9","All bedrooms","Santry, Dublin 9",44.78,128.9,"0",1992000
"1007",2010,1082.05,"Semi detached house","Walkinstown, Dublin 12","All bedrooms","Walkinstown, Dublin 12",44.78,128.9,"0",1992000
"1008",2010,1086.94,"Apartment","Dublin 16","All bedrooms","Dublin 16",44.78,128.9,"0",1992000
"1009",2010,1087.92,"Apartment","Townsend Street, Dublin 2","All bedrooms","Townsend Street, Dublin 2",44.78,128.9,"0",1992000
"1010",2010,1087.92,"Apartment","Townsend Street, Dublin 2","1 to 3 bed","Townsend Street, Dublin 2",44.78,128.9,"0",1992000
"1011",2010,1088.33,"Apartment","Templeogue, Dublin 6W","All bedrooms","Templeogue, Dublin 6W",44.78,128.9,"0",1992000
"1012",2010,1089.32,"Terrace house","Dublin 5","All bedrooms","Dublin 5",44.78,128.9,"0",1992000
"1013",2010,1090.17,"Terrace house","Dublin 1","All bedrooms","Dublin 1",44.78,128.9,"0",1992000
"1014",2010,1092.15,"Apartment","Parnell Street, Dublin 1","All bedrooms","Parnell Street, Dublin 1",44.78,128.9,"0",1992000
"1015",2010,1094.64,"Apartment","Cabinteely, Dublin 18","All bedrooms","Cabinteely, Dublin 18",44.78,128.9,"0",1992000
"1016",2010,1099.26,"Apartment","Carrickmines, Dublin 18","All bedrooms","Carrickmines, Dublin 18",44.78,128.9,"0",1992000
"1017",2010,1099.26,"Apartment","Carrickmines, Dublin 18","1 to 3 bed","Carrickmines, Dublin 18",44.78,128.9,"0",1992000
"1018",2010,1100.95,"Semi detached house","Dublin 7","All bedrooms","Dublin 7",44.78,128.9,"0",1992000
"1019",2010,1101.28,"Semi detached house","Dublin 1","All bedrooms","Dublin 1",44.78,128.9,"0",1992000
"1020",2010,1104.02,"Apartment","Smithfield, Dublin 7","All bedrooms","Smithfield, Dublin 7",44.78,128.9,"0",1992000
"1021",2010,1105.16,"Apartment","Dun Laoghaire, Dublin","All bedrooms","Dun Laoghaire, Dublin",44.78,128.9,"0",1992000
"1022",2010,1105.62,"Semi detached house","Firhouse, Dublin 24","All bedrooms","Firhouse, Dublin 24",44.78,128.9,"0",1992000
"1023",2010,1106.03,"Semi detached house","Carpenterstown, Dublin 15","All bedrooms","Carpenterstown, Dublin 15",44.78,128.9,"0",1992000
"1024",2010,1106.81,"Semi detached house","Kimmage, Dublin 12","All bedrooms","Kimmage, Dublin 12",44.78,128.9,"0",1992000
"1025",2010,1108.47,"Terrace house","Dublin 9","All bedrooms","Dublin 9",44.78,128.9,"0",1992000
"1026",2010,1109.16,"Terrace house","Phibsboro, Dublin 7","All bedrooms","Phibsboro, Dublin 7",44.78,128.9,"0",1992000
"1027",2010,1109.2,"Apartment","Dublin 14","All bedrooms","Dublin 14",44.78,128.9,"0",1992000
"1028",2010,1110.47,"Semi detached house","Castleknock, Dublin 15","All bedrooms","Castleknock, Dublin 15",44.78,128.9,"0",1992000
"1029",2010,1111.05,"Semi detached house","Beaumont, Dublin 9","All bedrooms","Beaumont, Dublin 9",44.78,128.9,"0",1992000
"1030",2010,1111.08,"Terrace house","Marino, Dublin 3","All bedrooms","Marino, Dublin 3",44.78,128.9,"0",1992000
"1031",2010,1113.1,"Semi detached house","Monkstown, Dublin","All bedrooms","Monkstown, Dublin",44.78,128.9,"0",1992000
"1032",2010,1114.14,"Apartment","Ballinteer, Dublin 16","All bedrooms","Ballinteer, Dublin 16",44.78,128.9,"0",1992000
"1033",2010,1114.33,"Terrace house","Glasnevin, Dublin 11","All bedrooms","Glasnevin, Dublin 11",44.78,128.9,"0",1992000
"1034",2010,1114.68,"Semi detached house","Dublin 5","All bedrooms","Dublin 5",44.78,128.9,"0",1992000
"1035",2010,1115.88,"Apartment","Sandyford, Dublin 18","All bedrooms","Sandyford, Dublin 18",44.78,128.9,"0",1992000
"1036",2010,1117.35,"Apartment","Dublin 18","All bedrooms","Dublin 18",44.78,128.9,"0",1992000
"1037",2010,1117.37,"Terrace house","Artane, Dublin 5","All bedrooms","Artane, Dublin 5",44.78,128.9,"0",1992000
"1038",2010,1117.38,"Apartment","Dartry, Dublin 6","All bedrooms","Dartry, Dublin 6",44.78,128.9,"0",1992000
"1039",2010,1118.4,"Semi detached house","Dublin 13","All bedrooms","Dublin 13",44.78,128.9,"0",1992000
"1040",2010,1118.91,"Apartment","Blackrock, Dublin","All bedrooms","Blackrock, Dublin",44.78,128.9,"0",1992000
"1041",2010,1120.35,"Apartment","Malahide, Dublin","All bedrooms","Malahide, Dublin",44.78,128.9,"0",1992000
"1042",2010,1122.69,"Terrace house","Raheny, Dublin 5","All bedrooms","Raheny, Dublin 5",44.78,128.9,"0",1992000
"1043",2010,1122.81,"Semi detached house","Whitehall, Dublin 9","All bedrooms","Whitehall, Dublin 9",44.78,128.9,"0",1992000
"1044",2010,1128.84,"Terrace house","Rathfarnham, Dublin 14","All bedrooms","Rathfarnham, Dublin 14",44.78,128.9,"0",1992000
"1045",2010,1129.7,"Apartment","Dundrum, Dublin 14","All bedrooms","Dundrum, Dublin 14",44.78,128.9,"0",1992000
"1046",2010,1131.19,"Semi detached house","Raheny, Dublin 5","All bedrooms","Raheny, Dublin 5",44.78,128.9,"0",1992000
"1047",2010,1131.67,"Semi detached house","Saggart, Dublin","All bedrooms","Saggart, Dublin",44.78,128.9,"0",1992000
"1048",2010,1134.68,"Apartment","Clonskeagh, Dublin 14","All bedrooms","Clonskeagh, Dublin 14",44.78,128.9,"0",1992000
"1049",2010,1135.21,"Semi detached house","Fairview, Dublin 3","All bedrooms","Fairview, Dublin 3",44.78,128.9,"0",1992000
"1050",2010,1135.33,"Semi detached house","Artane, Dublin 5","All bedrooms","Artane, Dublin 5",44.78,128.9,"0",1992000
"1051",2010,1138.77,"Semi detached house","Killester, Dublin 5","All bedrooms","Killester, Dublin 5",44.78,128.9,"0",1992000
"1052",2010,1139.41,"Terrace house","Drumcondra, Dublin 3","All bedrooms","Drumcondra, Dublin 3",44.78,128.9,"0",1992000
