PropertyType,Location,Year,Rent,CPI,Price-Rent-Ratio,VacancyRate,HousingStock
Terrace house,"Crumlin, Dublin 12",2008,1235,47.33,123.4,0,1960000
Terrace house,"Drimnagh, Dublin 12",2008,1294.48,47.33,123.4,0,1960000
Terrace house,"Kimmage, Dublin 12",2008,0,47.33,123.4,0,1960000
Terrace house,"Walkinstown, Dublin 12",2008,1233.3,47.33,123.4,0,1960000
Terrace house,Dublin 13,2008,1327.24,47.33,123.4,0,1960000
Terrace house,"Baldoyle, Dublin 13",2008,1317.65,47.33,123.4,0,1960000
Terrace house,"Balgriffin, Dublin 13",2008,0,47.33,123.4,0,1960000
Terrace house,"Clongriffin, Dublin 13",2008,0,47.33,123.4,0,1960000
Terrace house,"Sutton, Dublin 13",2008,1232.67,47.33,123.4,0,1960000
Terrace house,Dublin 14,2008,1501.94,47.33,123.4,0,1960000
Terrace house,"Churchtown, Dublin 14",2008,1524.86,47.33,123.4,0,1960000
Terrace house,"Clonskeagh, Dublin 14",2008,0,47.33,123.4,0,1960000
Terrace house,"Dundrum, Dublin 14",2008,1558.61,47.33,123.4,0,1960000
Terrace house,"Rathfarnham, Dublin 14",2008,1333.07,47.33,123.4,0,1960000
Terrace house,Dublin 15,2008,1203.77,47.33,123.4,0,1960000
Terrace house,"Blanchardstown, Dublin 15",2008,1168.5,47.33,123.4,0,1960000
Terrace house,"Castleknock, Dublin 15",2008,1207.96,47.33,123.4,0,1960000
Terrace house,"Clonee, Dublin 15",2008,1119.34,47.33,123.4,0,1960000
Terrace house,"Clonsilla, Dublin 15",2008,1127.95,47.33,123.4,0,1960000
Terrace house,"Mulhuddart, Dublin 15",2008,0,47.33,123.4,0,1960000
Terrace house,"Ongar, Dublin 15",2008,0,47.33,123.4,0,1960000
Terrace house,"Tyrrelstown, Dublin 15",2008,1328.83,47.33,123.4,0,1960000
Terrace house,Dublin 16,2008,1356.82,47.33,123.4,0,1960000
Terrace house,"Rathfarnham, Dublin 16",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 17,2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 18,2008,1511.84,47.33,123.4,0,1960000
Terrace house,"Foxrock, Dublin 18",2008,0,47.33,123.4,0,1960000
Terrace house,"Sandyford, Dublin 18",2008,0,47.33,123.4,0,1960000
Terrace house,"Stepaside, Dublin 18",2008,0,47.33,123.4,0,1960000
Terrace house,Dublin 20,2008,1179.29,47.33,123.4,0,1960000
Terrace house,"Chapelizod, Dublin 20",2008,0,47.33,123.4,0,1960000
Terrace house,"Palmerstown, Dublin 20",2008,0,47.33,123.4,0,1960000
Terrace house,"Clondalkin, Dublin 22",2008,1153.08,47.33,123.4,0,1960000
Terrace house,Dublin 24,2008,1218.26,47.33,123.4,0,1960000
Terrace house,"Firhouse, Dublin 24",2008,0,47.33,123.4,0,1960000
Terrace house,"Tallaght, Dublin 24",2008,1188.22,47.33,123.4,0,1960000
Apartment,Dublin,2008,1263.13,47.33,123.4,0,1960000
Apartment,"Balbriggan, Dublin",2008,946.02,47.33,123.4,0,1960000
Apartment,"Blackrock, Dublin",2008,1416.03,47.33,123.4,0,1960000
Apartment,"Booterstown, Dublin",2008,1452.67,47.33,123.4,0,1960000
Apartment,"Cabinteely, Dublin",2008,1232.5,47.33,123.4,0,1960000
Apartment,"Citywest, Dublin",2008,1177.71,47.33,123.4,0,1960000
Apartment,"Dalkey, Dublin",2008,1454.15,47.33,123.4,0,1960000
Apartment,"Donabate, Dublin",2008,1024.07,47.33,123.4,0,1960000
Apartment,"Dun Laoghaire, Dublin",2008,1334.84,47.33,123.4,0,1960000
Apartment,"Howth, Dublin",2008,1580.59,47.33,123.4,0,1960000
Apartment,"Killiney, Dublin",2008,0,47.33,123.4,0,1960000
Apartment,"Kinsealy, Dublin",2008,1131.72,47.33,123.4,0,1960000
Apartment,"Lucan, Dublin",2008,1122.01,47.33,123.4,0,1960000
Apartment,"Lusk, Dublin",2008,0,47.33,123.4,0,1960000
Apartment,"Malahide, Dublin",2008,1438.96,47.33,123.4,0,1960000
Apartment,"Monkstown, Dublin",2008,1229.57,47.33,123.4,0,1960000
Apartment,"Mount Merrion, Dublin",2008,0,47.33,123.4,0,1960000
Apartment,"Portmarnock, Dublin",2008,1232.32,47.33,123.4,0,1960000
Apartment,"Rathcoole, Dublin",2008,1038.6,47.33,123.4,0,1960000
Apartment,"Rush, Dublin",2008,1015.28,47.33,123.4,0,1960000
Apartment,"Saggart, Dublin",2008,1215.87,47.33,123.4,0,1960000
Apartment,"Sandycove, Dublin",2008,1287.17,47.33,123.4,0,1960000
Apartment,"Shankill, Dublin",2008,1261.05,47.33,123.4,0,1960000
Apartment,"Skerries, Dublin",2008,1023.1,47.33,123.4,0,1960000
Apartment,"Stepaside, Dublin",2008,1280.71,47.33,123.4,0,1960000
Apartment,"Stillorgan, Dublin",2008,1475.87,47.33,123.4,0,1960000
Apartment,"Swords, Dublin",2008,1123.52,47.33,123.4,0,1960000
Apartment,Dublin 1,2008,1249.64,47.33,123.4,0,1960000
Apartment,"I.F.S.C., Dublin 1",2008,1229.73,47.33,123.4,0,1960000
Apartment,"Parnell Street, Dublin 1",2008,1361.5,47.33,123.4,0,1960000
Apartment,"Spencer Dock, Dublin 1",2008,1611.11,47.33,123.4,0,1960000
Apartment,"Summerhill, Dublin 1",2008,1176.84,47.33,123.4,0,1960000
Apartment,Dublin 2,2008,1433.62,47.33,123.4,0,1960000
Apartment,"Aungier Street, Dublin 2",2008,1142.27,47.33,123.4,0,1960000
Apartment,"Charlemont Street, Dublin 2",2008,1499.22,47.33,123.4,0,1960000
Apartment,"Grand Canal Dock, Dublin 2",2008,0,47.33,123.4,0,1960000
Apartment,"Grand Canal Square, Dublin 2",2008,0,47.33,123.4,0,1960000
Apartment,"Hanover Quay, Dublin 2",2008,0,47.33,123.4,0,1960000
Apartment,"Lower Mount Street, Dublin 2",2008,1252.9,47.33,123.4,0,1960000
Apartment,"Pearse Street, Dublin 2",2008,1292.61,47.33,123.4,0,1960000
Apartment,"Tara Street, Dublin 2",2008,1278,47.33,123.4,0,1960000
Apartment,"Temple Bar, Dublin 2",2008,1483.5,47.33,123.4,0,1960000
Apartment,"Townsend Street, Dublin 2",2008,1323.71,47.33,123.4,0,1960000
Apartment,Dublin 3,2008,1234.44,47.33,123.4,0,1960000
Apartment,"Clonliffe, Dublin 3",2008,0,47.33,123.4,0,1960000
Apartment,"Clontarf, Dublin 3",2008,1256.16,47.33,123.4,0,1960000
Apartment,"Drumcondra, Dublin 3",2008,0,47.33,123.4,0,1960000
Apartment,"East Wall, Dublin 3",2008,1321.41,47.33,123.4,0,1960000
Apartment,"Eastwall, Dublin 3",2008,0,47.33,123.4,0,1960000
Apartment,"Fairview, Dublin 3",2008,1095.83,47.33,123.4,0,1960000
Apartment,"Marino, Dublin 3",2008,0,47.33,123.4,0,1960000
Apartment,"North Strand, Dublin 3",2008,0,47.33,123.4,0,1960000
Apartment,Dublin 4,2008,1473.06,47.33,123.4,0,1960000
Apartment,"Ballsbridge, Dublin 4",2008,1564.28,47.33,123.4,0,1960000
Apartment,"Donnybrook, Dublin 4",2008,1480.5,47.33,123.4,0,1960000
Apartment,"Irishtown, Dublin 4",2008,0,47.33,123.4,0,1960000
Apartment,"Merrion, Dublin 4",2008,1419.91,47.33,123.4,0,1960000
Apartment,"Pembroke, Dublin 4",2008,1418.21,47.33,123.4,0,1960000
Apartment,"Ringsend, Dublin 4",2008,1376.89,47.33,123.4,0,1960000
Apartment,"Sandymount, Dublin 4",2008,1478.26,47.33,123.4,0,1960000
Apartment,Dublin 5,2008,1251.97,47.33,123.4,0,1960000
Apartment,"Artane, Dublin 5",2008,1265.9,47.33,123.4,0,1960000
Apartment,"Killester, Dublin 5",2008,0,47.33,123.4,0,1960000
Apartment,"Raheny, Dublin 5",2008,1307.08,47.33,123.4,0,1960000
Apartment,Dublin 6,2008,1215.48,47.33,123.4,0,1960000
Apartment,"Dartry, Dublin 6",2008,1345.91,47.33,123.4,0,1960000
Apartment,"Harolds Cross, Dublin 6",2008,0,47.33,123.4,0,1960000
Apartment,"Milltown, Dublin 6",2008,1481.39,47.33,123.4,0,1960000
Apartment,"Ranelagh, Dublin 6",2008,1168.27,47.33,123.4,0,1960000
Apartment,"Rathgar, Dublin 6",2008,1055.92,47.33,123.4,0,1960000
Apartment,"Rathmines, Dublin 6",2008,1183.37,47.33,123.4,0,1960000
Apartment,"Terenure, Dublin 6",2008,1279.92,47.33,123.4,0,1960000
Apartment,Dublin 6W,2008,1225.58,47.33,123.4,0,1960000
