PropertyType,NumberofRoom,Location,2008,2009,2010,2011,2012,2013,2014,2015
Detached house,Three bed,"I.F.S.C., Dublin 1",0,0,0,0,0,0,0,0
Detached house,Three bed,"Parnell Street, Dublin 1",0,0,0,0,0,0,0,0
Detached house,Three bed,"Spencer Dock, Dublin 1",0,0,0,0,0,0,0,0
Detached house,Three bed,"Summerhill, Dublin 1",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 2,0,0,0,0,0,0,0,0
Detached house,Three bed,"Aungier Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Charlemont Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Grand Canal Dock, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Grand Canal Square, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Hanover Quay, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Lower Mount Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Pearse Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Tara Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Temple Bar, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,"Townsend Street, Dublin 2",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 3,0,0,0,0,0,0,0,0
Detached house,Three bed,"Clonliffe, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"Clontarf, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"Drumcondra, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"East Wall, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"Eastwall, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"Fairview, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"Marino, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,"North Strand, Dublin 3",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 4,0,2167.69,2026.5,0,2280.88,2272.71,2199.85,2238.06
Detached house,Three bed,"Ballsbridge, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,"Donnybrook, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,"Irishtown, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,"Merrion, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,"Pembroke, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,"Ringsend, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,"Sandymount, Dublin 4",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 5,0,0,0,0,0,0,0,0
Detached house,Three bed,"Artane, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Three bed,"Killester, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Three bed,"Raheny, Dublin 5",0,0,0,0,0,0,0,0
Detached house,Three bed,Dublin 6,0,0,0,0,0,0,0,0
Detached house,Three bed,"Dartry, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Three bed,"Harolds Cross, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Three bed,"Milltown, Dublin 6",0,0,0,0,0,0,0,0
Detached house,Three bed,"Ranelagh, Dublin 6",0,0,0,0,0,0,0,0
